car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
GM1M,31A GHIM MOH LINK,22552.3566,32407.3317,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
GM2,BLK 7/8/9 GHIM MOH ROAD,22974.2865,32655.7823,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
GM2A,BLK 8A GHIM MOH ROAD,22874.5952,32575.0244,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N
GM3,BLK 19/20 GHIM MOH ROAD,23051.41,32606.52,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
GM5,BLK 21 GHIM MOH ROAD,23013.32,32520.93,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
GM6A,BLK 13A GHIM MOH ROAD,23036.915,32422.5932,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,5,2.15,N
GM6B,BLK 16A GHIM MOH ROAD,22917.7735,32435.7026,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
HCM,BLK 104A HENDERSON CRESCENT,26691.3633,30161.685,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.1,N
HE12,BLK 78/81 REDHILL LANE,26367.5806,30069.2434,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HE17,BLK 93/96 HENDERSON ROAD,26561.0277,29871.6493,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
HE19,- ALEXANDRA ROAD,26627.3867,30326.9473,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
HE24,BLK 116 BUKIT MERAH VIEW,26627.4121,29677.5937,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
HE9,BLK 118/119 BUKIT MERAH VIEW,26650.6074,29571.3613,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
HRM,BLK 96 HENDERSON ROAD,26668.6582,29993.0383,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N
JRTM,BLK 37A JALAN RUMAH TINGGI,25441.3095,30196.268,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
LBM,BLK 64 LENGKOK BAHRU,25985.8189,30193.5347,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
MLM,BLK 157A MEI LING STREET,24676.3894,30639.2696,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
MLM1,BLK 161A MEI LING STREET,24684.8066,30491.8693,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
PDQ5,BLK 57 DAWSON RD,25514.1791,30563.4425,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N
Q14,BLK 49 STIRLING ROAD,24533.22,31110.95,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
Q15,BLK 41/48 STIRLING ROAD,24487.19,31188.56,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q16,BLK 45 AND 50 STIRLING ROAD,24705.57,31033.88,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q17,BLK 52 STIRLING ROAD,24717.58,30953.45,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q19,BLK 151 MEI LING STREET,24654.5215,30786.998,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N
Q2A,BLK 155-164 STIRLING ROAD,24780.1309,30449.3691,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
Q30,MARGARET DRIVE,25268.69,30911.89,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q4,BLK 168A QUEENSWAY,24726.8911,30124.9522,SURFACE CAR PARK,COUPON PARKING,NO,NO,YES,0,0.0,N
Q41,BLK 80 STRATHMORE AVENUE,25318.4336,30747.652,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N
Q48,BLK 150A MEI CHIN ROAD,24682.94,30859.67,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q49,- MEI CHIN ROAD,24600.43,30852.65,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q5A,BLKS 166-171 STIRLING ROAD,24644.4805,30393.2754,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
Q5S,BLK 165-166 STIRLING ROAD,24530.9034,30353.3466,SURFACE CAR PARK,COUPON PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q51,BLK 39 TANGLIN HALT ROAD,24187.6,31144.34,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q52,BLK 33-34 TANGLIN HALT ROAD,24170.85,31017.51,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q55,BLK 61/66 COMMONWEALTH DRIVE,23894.27,31228.0,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,4.5,N
Q58,BLK 46-3 COMMONWEALTH DRIVE,24031.02,31382.8,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.0,N
Q59,BLK 47/49 TANGLIN HALT ROAD,24023.14,31476.19,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N
Q65,BLK 115A COMMONWEALTH DRIVE,24153.2643,31983.7356,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q65A,BLK 96-111 AND 115 COMMONWEALTH CRESCENT,24418.636,32156.675,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N
Q66,BLK 117 COMMONWEALTH DRIVE,24236.01,32114.32,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q67,BLK 116-118 COMMONWEALTH CRESCENT,24352.42,32166.07,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N
Q68,BLK 110 COMMONWEALTH CRESCENT,24181.18,32133.41,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N
Q70,BLK 99/102 COMMONWEALTH CRESCENT,24353.0804,32185.228,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N
Q72,BLK 96 COMMONWEALTH CRESCENT,24391.78,32090.9,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N
Q73,BLK 91/92 COMMONWEALTH DRIVE,24335.5387,32064.3962,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N
